id,symbol,name,price_usd,market_cap,total_volume,change_24h_pct,high_24h,low_24h
bitcoin,BTC,Bitcoin,59555.0,1194111030945,15749791121,-1.44049,60503.0,59353.0
ethereum,ETH,Ethereum,1571.17,189660303276,5304862720,-1.16369,1592.37,1562.51
tether,USDT,Tether,0.998582,186068209266,26808290028,0.01275,0.998674,0.998432
binancecoin,BNB,BNB,551.24,74293654676,476762551,-2.00143,562.5,549.32
usd-coin,USDC,USDC,0.999683,73695438403,6126012197,-0.0319,1.0,0.999593
ripple,XRP,XRP,1.046,65101196248,1017813254,-1.1367,1.058,1.042
solana,SOL,Solana,71.48,41522433389,1684243578,-0.60258,71.99,70.21
tron,TRX,TRON,0.322697,30608041294,464975783,0.69063,0.323966,0.320056
figure-heloc,FIGR_HELOC,Figure Heloc,1.044,20159783790,129568628,1.38373,1.044,1.029
hyperliquid,HYPE,Hyperliquid,62.63,13937848238,357121781,-0.54329,63.37,61.48
dogecoin,DOGE,Dogecoin,0.073114,11322696985,446654572,-2.96629,0.075349,0.072779
usds,USDS,USDS,0.999561,10343187438,9425341,0.01034,0.999735,0.999351
rain,RAIN,Rain,0.01556629,10302001271,40490906,-0.27702,0.01561878,0.01549947
leo-token,LEO,LEO Token,9.44,8685984354,833516,0.50584,9.48,9.36
zcash,ZEC,Zcash,388.66,6530147386,257778648,-3.82339,404.11,383.2
canton-network,CC,Canton,0.150758,5869220323,6190408,-0.54957,0.155035,0.150443
monero,XMR,Monero,312.85,5857827792,91725893,-0.18035,316.49,306.7
stellar,XLM,Stellar,0.170144,5777577302,100057913,-2.60512,0.174949,0.169602
whitebit,WBT,WhiteBIT Coin,47.6,5625073623,36483024,-1.42487,48.38,47.48
chainlink,LINK,Chainlink,7.25,5421728625,150356874,-1.54347,7.38,7.21
